filename,provider,vcpu(s),device,instance,iteration,events,runtime(ms),time_per_task(ms),price,normalized_runtime,cost_per_task,normalized_cost
microsoft_8_cpu-1.out,microsoft,8,cpu,1,10,24,11106.1,462.75416666666666,0.34,2.9036744069344667,0.9872492983577187,5.807348813868932
microsoft_8_cpu-3.out,microsoft,8,cpu,3,1,24,10907.9,454.49583333333334,0.34,2.851855292442934,0.9696307994305976,5.703710584885867
microsoft_8_cpu-3.out,microsoft,8,cpu,3,2,24,10911.699999999999,454.65416666666664,0.34,2.8528487971607333,0.9699685910346494,5.705697594321466
microsoft_8_cpu-3.out,microsoft,8,cpu,3,3,24,10823.6,450.98333333333335,0.34,2.829815174624386,0.9621371593722913,5.659630349248771
microsoft_8_cpu-3.out,microsoft,8,cpu,3,4,24,10959.199999999999,456.63333333333327,0.34,2.8652676061332243,0.9741909860852963,5.730535212266448
microsoft_8_cpu-3.out,microsoft,8,cpu,3,5,24,10878.8,453.2833333333333,0.34,2.8442471378934706,0.9670440268837801,5.68849427578694
microsoft_8_cpu-3.out,microsoft,8,cpu,3,6,24,10875.9,453.16249999999997,0.34,2.843488936924624,0.9667862385543722,5.686977873849247
microsoft_8_cpu-3.out,microsoft,8,cpu,3,7,24,11058.8,460.7833333333333,0.34,2.8913078876839644,0.983044681812548,5.782615775367928
microsoft_8_cpu-3.out,microsoft,8,cpu,3,8,24,10870.699999999999,452.94583333333327,0.34,2.842129404152898,0.9663239974119855,5.684258808305795
microsoft_8_cpu-3.out,microsoft,8,cpu,3,9,24,10818.8,450.7833333333333,0.34,2.828560221296639,0.9617104752408574,5.6571204425932775
